DeviceName Voc(mV) Isc/(mA/cm2) FF(%) PCE(%) Concentration(mM) Annealing_T(°C) Molecular_Weight(u) Hydrogen_Bond_Donor_Count Hydrogen_Bond_Acceptor_Count Rotatable_Bond_Count Rigid_Bond_Count Topological_Polar_Surface_Area Complexity Heavy_Atom_Count Halide_fraction Heteroatom_carbon_ratio Heteroatom_count H_Count C_Count Cl_Count Br_Count I_Count
MEPEAI-5mM-100T-3-192-For 1107.71 0.45 20.68 0.1 5 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEABr-15mM-20T-1-193-For 1101.84 17.32 43.36 8.28 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-1-194-For 1100.19 12.8 38.53 5.42 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-1-195-For 1096.33 12.14 33.87 4.51 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-1-197-For 1102.24 9.51 40.75 4.27 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-1-198-For 1101.84 9.75 35.14 3.77 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-1-199-For 1104.38 14.64 38.07 6.16 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-1-200-For 1114.92 16.39 39.86 7.29 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-2-201-For 1095.87 21.39 75.14 17.61 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-2-202-For 1088.75 11.18 37.72 4.59 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-2-203-For 1103.89 7.22 38.37 3.06 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-2-204-For 1098.52 8.23 36.44 3.3 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-2-205-For 1098.66 7.86 38.34 3.31 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-2-206-For 1114.46 13.17 39.45 5.79 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-2-207-For 1104.69 12.58 36.65 5.09 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-2-208-For 1121.67 21.62 76.14 18.46 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-3-209-For 1134.95 10.31 38.79 4.54 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-3-210-For 1150.72 16.2 52.57 9.8 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-3-211-For 1150.02 19.36 57.1 12.71 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-3-212-For 1142.65 16.87 52.33 10.09 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-3-213-For 1122.55 23.37 55.68 14.61 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-3-214-For 1137.63 21.44 60.94 14.86 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
MEPEABr-15mM-20T-3-215-For 1124.66 13.33 40.13 6.02 15 20 216.1203 1 1 2 6 27.64 82.7291 11 0.3697 0.2222 2 14 9 0 1 0
